gvkeyFR,gvkey,year1,yearN
003494,003494,1950,1978
003495,003495,1960,1986
003497,003497,1950,2011
003500,120193,1998,2020
003501,003501,1973,1984
003502,003502,1950,2020
003503,003503,1981,1995
003504,003504,1981,2020
003505,162940,2004,2020
003506,003506,1950,1980
003511,003511,1950,1976
003512,003512,1950,1989
003515,003515,1982,2011
003517,003517,1965,1976
003518,003518,1979,1997
003520,003520,1963,1995
003521,003521,1960,1977
003522,003522,1965,1985
003523,003523,1974,1984
003524,003524,1959,1996
003530,003530,1965,1981
003532,003532,1950,2020
003538,003538,1961,2013
003544,003544,1961,1977
003546,003546,1964,1973
003547,003547,1982,2012
003553,003553,1973,1992
003558,003558,1960,1998
003562,003562,1974,2020
003564,003564,1973,1992
003571,003571,1959,1985
003572,003572,1981,1987
003573,003573,1963,1976
003574,003574,1967,2000
003579,003579,1980,2001
003580,003580,1950,2020
003581,003581,1968,2020
003582,003582,1974,1979
003588,003588,1973,1983
003601,003601,1973,1992
003604,003604,1963,1982
003607,003607,1950,2016
003609,003609,1977,1997
003610,016475,1987,1996
003612,003612,1971,2012
003618,003618,1960,1999
003619,003619,1950,2020
003621,003621,1974,1981
003622,003622,1968,2020
003623,003623,1963,1987
003627,003627,1950,1985
003630,003630,1974,1981
003633,003633,1966,1985
003634,003634,1983,1989
003638,003638,1974,1983
003639,003639,1960,2020
003641,003641,1950,1970
003642,064640,1991,1999
003643,003643,1974,2020
003644,003644,1959,1977
003647,003647,1982,2020
003650,003650,1950,2020
003652,003652,1973,1983
003657,003657,1973,1994
003659,003659,1963,1976
003660,003660,1950,1969
003662,003662,1950,2020
003663,003663,1978,1990
003665,003665,1984,1991
003666,003666,1973,1995
003670,003670,1950,1977
003673,003673,1982,2002
003674,003674,1983,1993
003677,003677,1979,1985
003680,001609,1950,1984
003680,011993,1985,1998
003680,008536,1999,2006
003680,014590,2007,2020
003684,003684,1983,1998
003687,003687,1960,1971
003690,003690,1974,1993
003691,003691,1970,2020
003693,003693,1982,1997
003695,003695,1968,1975
003700,003700,1977,2002
003702,003702,1982,1995
003705,003705,1982,1997
003708,003708,1950,2020
003711,161965,1999,2009
003712,003712,1980,1992
003715,003715,1979,1995
003721,003721,1977,1984
003724,003724,1963,1988
003727,003727,1962,1969
003729,003729,1979,1989
003730,003730,1965,1992
003733,062898,1993,2003
003734,003734,1950,2020
003735,003735,1970,2020
003737,003737,1968,1976
003738,003738,1973,1985
003743,003743,1973,1986
003746,008543,1950,2006
003748,003746,1950,1987
003748,008543,1988,2006
003749,003749,1959,1972
003750,003750,1973,1987
003755,003755,1971,1987
003758,061386,1990,1996
003761,003761,1980,2020
003766,003766,1973,1984
003767,003767,1973,1981
003769,003769,1981,2002
003771,003771,1973,1992
003773,003773,1983,2003
003775,003775,1973,1983
003777,003777,1965,1972
003778,003778,1978,1987
003779,003779,1978,2000
003781,003781,1973,2002
003782,003782,1969,2003
003785,032014,2018,2020
003786,003786,1971,2008
003787,003787,1982,1993
003788,003788,1980,1984
003790,003790,1981,1989
003794,003794,1979,1986
003798,003798,1974,2001
003799,003799,1978,1996
003801,003801,1978,2020
003805,003805,1971,1996
003807,003807,1974,2011
003810,003810,1950,1986
003812,005250,1950,2020
003813,003813,1966,2020
003814,003814,1951,2020
003818,003818,1960,1976
003821,062655,1995,2019
003828,003828,1971,1987
003829,003829,1973,1990
003832,003832,1981,1989
003834,003834,1973,1979
003835,003835,1950,2020
003837,003837,1966,1994
003839,003839,1973,2015
003841,009113,1950,1988
003841,024283,1989,2014
003847,003847,1960,1981
003849,003849,1980,1995
003851,003851,1950,2020
003854,003854,1973,1988
003858,003858,1980,1987
003863,003863,1963,2020
003864,003864,1969,1978
003866,003866,1975,1984
003872,003872,1980,2009
003874,013700,1986,2020
003885,003885,1973,1994
003888,006424,1950,2012
003891,003891,1979,1981
003893,003893,1965,1974
003894,003894,1979,1987
003895,003895,1963,2016
003897,003897,1951,2020
003901,003901,1962,1985
003905,003905,1982,2020
003907,003907,1981,1998
003908,003908,1959,2020
003910,003910,1976,1989
003915,003915,1983,2001
003916,003916,1973,2007
003918,003918,1979,2008
003922,003922,1973,1979
003927,003927,1962,1988
003928,003928,1950,1982
003930,003930,1950,1994
003932,003932,1976,1984
003933,003933,1960,2000
003934,003934,1974,2007
003937,003937,1971,2020
003938,003938,1982,1997
003939,003939,1968,1977
003942,003942,1975,1987
003943,003943,1964,1972
003944,003944,1977,1986
003945,008606,1950,1994
003945,064723,1995,1999
003946,003946,1950,2020
003949,003949,1968,2006
003950,003950,1973,1988
003951,003952,1976,1985
003959,003959,1980,1988
003969,003969,1967,2020
003971,003971,1981,2010
003972,003972,1974,2011
003980,003980,1950,2020
003981,003981,1981,1987
003982,003982,1972,1975
003986,003986,1981,1991
003987,003987,1964,1967
003990,007507,1963,1995
003990,010846,1996,2001
003990,160949,2002,2010
003990,009555,2011,2016
003990,038398,2018,2020
003992,003992,1958,1989
