gvkey_primary,gvkey_secondary,year,source,type
010482,005148,1985,General Research,Merger or Acquisition
016475,005163,1987,General Research,Relisting
008762,005169,2005,General Research,Merger or Acquisition
001066,005207,1984,CRSP/Compustat,Merger or Acquisition
004739,005216,2006,General Research,Merger or Acquisition
011669,005235,1989,SDC Platinum,Merger or Acquisition
027845,005241,2015,Subsidiary Data,Merger or Acquisition
023090,005261,1985,Clean Name Duplicates,Relisting
148223,005308,2000,Clean Name Duplicates,Relisting
008585,005328,1979,General Research,Merger or Acquisition
003946,005345,1995,SDC Platinum,Merger or Acquisition
006731,005369,1995,Subsidiary Data,Merger or Acquisition
005382,005381,1960,General Research,Subsidiary Listing
002991,005382,1985,General Research,Merger or Acquisition
003022,005389,1985,General Research,Merger or Acquisition
063754,005389,1989,Clean Name Duplicates,Subsidiary Spin-Off
024021,005424,1990,Clean Name Duplicates,Relisting
005429,005428,1967,Clean Name Duplicates,Merger or Acquisition
014262,005436,1984,General Research,Subsidiary Spin-Off
009068,005436,1980,General Research,Merger or Acquisition
011462,005460,1998,Clean Name Duplicates,Merger or Acquisition
005526,005525,1963,General Research,Subsidiary Listing
004961,005527,1974,General Research,Subsidiary Listing
031498,005563,1990,Clean Name Duplicates,Relisting
063292,005590,1991,Clean Name Duplicates,Subsidiary Spin-Off
002775,005590,1974,General Research,Merger or Acquisition
026749,005600,1976,CRSP/Compustat,Subsidiary Listing
005600,005600,2016,CRSP/Compustat,Subsidiary Spin-Off
018597,005605,1987,General Research,Merger or Acquisition
009113,005605,1982,General Research,Merger or Acquisition
005614,005613,1976,CRSP/Compustat,Relisting
029092,005675,1989,Clean Name Duplicates,Relisting
024022,005682,1987,Clean Name Duplicates,Relisting
001300,005693,1999,General Research,Merger or Acquisition
008068,005696,1968,General Research,Merger or Acquisition
005698,005698,2006,General Research,Merger or Acquisition
002997,005698,1985,General Research,Merger or Acquisition
005735,005734,1983,Clean Name Duplicates,Subsidiary Listing
001976,005775,1987,Subsidiary Data,Merger or Acquisition
027914,005776,1991,General Research,Relisting
005790,005789,1973,General Research,Subsidiary Listing
008479,005824,2009,6-character CUSIP,Merger or Acquisition
003662,005840,2007,General Research,Merger or Acquisition
030703,005845,1989,Clean Name Duplicates,Relisting
065091,005877,1951,General Research,Subsidiary Listing
001430,005885,1993,SDC Platinum,Merger or Acquisition
001567,005886,1997,Subsidiary Data,Merger or Acquisition
212773,005898,1996,General Research,Subsidiary Spin-Off
012826,005898,1986,General Research,Merger or Acquisition
024856,005902,2020,General Research,Merger or Acquisition
001581,005915,1975,6-character CUSIP,Subsidiary Listing
001485,005915,1984,6-character CUSIP,Subsidiary Listing
014446,005969,1987,CRSP/Compustat,Relisting
003580,005992,1996,Subsidiary Data,Merger or Acquisition
007152,006000,2008,SDC Platinum,Merger or Acquisition
065676,006042,1997,General Research,Subsidiary Spin-Off
029849,006042,1994,General Research,Subsidiary Spin-Off
006765,006042,1991,General Research,Merger or Acquisition
021793,006072,1986,General Research,Relisting
004060,006078,2019,General Research,Merger or Acquisition
001487,006089,1990,SDC Platinum,Merger or Acquisition
177264,006096,2007,General Research,Subsidiary Spin-Off
018086,006096,2010,Clean Name Duplicates,Subsidiary Spin-Off
010787,006096,2000,General Research,Merger or Acquisition
003735,006110,2012,Subsidiary Data,Merger or Acquisition
127314,006121,1999,General Research,Relisting
028214,006134,1992,Clean Name Duplicates,Relisting
006139,006138,1976,Clean Name Duplicates,Merger or Acquisition
130762,006139,1997,Clean Name Duplicates,Relisting
005492,006139,1988,General Research,Merger or Acquisition
011721,006207,2006,SDC Platinum,Merger or Acquisition
007139,006248,1982,General Research,Merger or Acquisition
014531,006318,1987,General Research,Relisting
024293,006318,1991,ABS,Relisting
023276,006321,1993,Clean Name Duplicates,Relisting
005378,006361,1975,General Research,Merger or Acquisition
003610,006363,1978,CRSP/Compustat,Relisting
003735,006370,2010,SDC Platinum,Merger or Acquisition
020769,006381,1984,Clean Name Duplicates,Relisting
005605,006394,1971,General Research,Merger or Acquisition
008479,006394,1986,General Research,Merger or Acquisition
025588,006399,1951,General Research,Subsidiary Listing
009783,006418,1994,CRSP/Compustat,Merger or Acquisition
014808,006423,1991,SDC Platinum,Merger or Acquisition
009602,006477,1995,Subsidiary Data,Merger or Acquisition
031285,006477,1993,ABS,Relisting
015413,006487,1987,CRSP/Compustat,Relisting
021465,006495,1985,General Research,Relisting
003746,006498,1975,SDC Platinum,Subsidiary Listing
012578,006523,1985,CRSP/Compustat,Relisting
003158,006532,2017,Subsidiary Data,Merger or Acquisition
006543,006550,1999,Subsidiary Data,Merger or Acquisition
030807,006552,1999,General Research,Relisting
006135,006562,1977,General Research,Subsidiary Listing
004060,006568,1987,General Research,Merger or Acquisition
062918,006568,1994,Clean Name Duplicates,Subsidiary Spin-Off
170307,006598,2011,ABS,Relisting
142541,006608,2006,SDC Platinum,Merger or Acquisition
005557,006721,1990,SDC Platinum,Merger or Acquisition
013963,006726,1987,Clean Name Duplicates,Relisting
006771,006772,1961,General Research,Subsidiary Listing
006781,006781,1960,Clean Name Duplicates,Subsidiary Spin-Off
006877,006781,1958,Clean Name Duplicates,Subsidiary Listing
147175,006782,1999,General Research,Relisting
023198,006794,1985,CRSP/Compustat,Relisting
062640,006807,1996,General Research,Relisting
006782,006810,1973,General Research,Relisting
015084,006819,1997,Subsidiary Data,Merger or Acquisition
006821,006822,1974,General Research,Subsidiary Listing
001164,006864,1997,General Research,Merger or Acquisition
013133,006868,1986,CRSP/Compustat,Relisting
012352,006877,1984,Clean Name Duplicates,Relisting
012351,006905,1984,Clean Name Duplicates,Relisting
014014,006941,1987,Clean Name Duplicates,Relisting
008546,006952,1975,General Research,Merger or Acquisition
009332,006956,1997,SDC Platinum,Merger or Acquisition
006096,006975,1986,Clean Name Duplicates,Merger or Acquisition
001920,006975,1982,General Research,Merger or Acquisition
003748,006977,1978,General Research,Merger or Acquisition
014890,006977,1987,General Research,Subsidiary Listing
008359,006999,1976,Clean Name Duplicates,Merger or Acquisition
010970,007017,1982,CRSP/Compustat,Merger or Acquisition
007017,007017,2001,General Research,Subsidiary Spin-Off
024448,007028,1992,Clean Name Duplicates,Merger or Acquisition
004060,007040,1989,Subsidiary Data,Merger or Acquisition
014899,007055,1987,Clean Name Duplicates,Relisting
007058,007057,1976,Clean Name Duplicates,Relisting
007061,007062,1962,Clean Name Duplicates,Relisting
025180,007099,1996,Subsidiary Data,Merger or Acquisition
002577,007106,2011,General Research,Merger or Acquisition
011465,007139,2006,General Research,Merger or Acquisition
003497,007162,1985,General Research,Merger or Acquisition
007162,007162,1996,General Research,Merger or Acquisition
004895,007176,1980,General Research,Merger or Acquisition
007186,007186,2003,General Research,Subsidiary Spin-Off
007257,007186,1993,General Research,Merger or Acquisition
025356,007186,2012,General Research,Merger or Acquisition
014581,007217,1999,Subsidiary Data,Merger or Acquisition
007647,007267,2008,General Research,Merger or Acquisition
003580,007268,2009,Subsidiary Data,Merger or Acquisition
012127,007280,1984,CRSP/Compustat,Relisting
001050,007281,2013,Subsidiary Data,Merger or Acquisition
063293,007297,1991,Clean Name Duplicates,Relisting
004932,007298,1960,Clean Name Duplicates,Relisting
001485,007317,1984,6-character CUSIP,Subsidiary Listing
001581,007317,1977,6-character CUSIP,Subsidiary Listing
003897,007319,2000,General Research,Merger or Acquisition
012142,007331,2014,SDC Platinum,Merger or Acquisition
110685,007341,1999,Subsidiary Data,Merger or Acquisition
007345,007345,2000,Clean Name Duplicates,Merger or Acquisition
007116,007345,1998,Clean Name Duplicates,Merger or Acquisition
061370,007367,1990,Clean Name Duplicates,Relisting
065298,007380,1995,General Research,Merger or Acquisition
005518,007413,1984,General Research,Merger or Acquisition
007875,007444,1983,General Research,Merger or Acquisition
005980,007448,2004,SDC Platinum,Merger or Acquisition
003734,007463,1998,Subsidiary Data,Merger or Acquisition
007475,007474,1974,General Research,Subsidiary Listing
004503,007475,1998,General Research,Merger or Acquisition
007475,007476,1976,General Research,Subsidiary Listing
162940,007507,2005,General Research,Merger or Acquisition
177831,007515,2006,Clean Name Duplicates,Relisting
008530,007536,2003,General Research,Merger or Acquisition
147310,007537,1997,CRSP/Compustat,Relisting
006347,007567,1996,Clean Name Duplicates,Merger or Acquisition
023220,007574,2001,General Research,Merger or Acquisition
001356,007574,2000,General Research,Merger or Acquisition
007620,007621,1962,General Research,Subsidiary Listing
008530,007637,2019,General Research,Merger or Acquisition
001998,007650,1998,General Research,Merger or Acquisition
009113,007674,1985,General Research,Merger or Acquisition
007674,007675,1981,General Research,Merger or Acquisition
126423,007682,2019,CRSP/Compustat,Merger or Acquisition
061338,007692,2009,Subsidiary Data,Merger or Acquisition
001098,007701,1968,CRSP/Compustat,Relisting
012457,007709,1981,6-character CUSIP,Relisting
013587,007720,1995,SDC Platinum,Merger or Acquisition
010845,007778,1978,General Research,Merger or Acquisition
005894,007778,1997,General Research,Merger or Acquisition
001581,007840,1950,6-character CUSIP,Subsidiary Listing
008044,007840,1984,6-character CUSIP,Relisting
004961,007846,1975,General Research,Subsidiary Listing
145271,007892,1999,General Research,Relisting
260408,007935,2006,Clean Name Duplicates,Relisting
210032,007936,2012,CRSP/Compustat,Merger or Acquisition
007898,007956,1988,SDC Platinum,Merger or Acquisition
007977,007978,1973,General Research,Subsidiary Listing
007994,007990,1974,General Research,Subsidiary Listing
001581,007996,1963,6-character CUSIP,Subsidiary Listing
014274,007996,1984,6-character CUSIP,Subsidiary Listing
008020,008019,1979,Clean Name Duplicates,Relisting
008762,008022,1989,General Research,Merger or Acquisition
010138,008024,1981,CRSP/Compustat,Relisting
010238,008026,1980,CRSP/Compustat,Merger or Acquisition
030029,008035,1991,Clean Name Duplicates,Relisting
002136,008044,1997,6-character CUSIP,Merger or Acquisition
008068,008078,1978,General Research,Subsidiary Listing
001581,008097,1975,6-character CUSIP,Subsidiary Listing
001485,008097,1984,6-character CUSIP,Subsidiary Listing
007007,008124,1979,General Research,Merger or Acquisition
003310,008145,1991,General Research,Merger or Acquisition
018025,008150,2012,General Research,Merger or Acquisition
013453,008159,2003,Clean Name Duplicates,Merger or Acquisition
029241,008163,2000,General Research,Merger or Acquisition
006304,008169,2018,Subsidiary Data,Merger or Acquisition
003413,008171,1999,SDC Platinum,Merger or Acquisition
010983,008198,1976,General Research,Merger or Acquisition
036190,008198,2015,General Research,Relisting
008226,008225,1979,Clean Name Duplicates,Relisting
007298,008226,1988,Clean Name Duplicates,Merger or Acquisition
012352,008226,1997,Clean Name Duplicates,Merger or Acquisition
029829,008239,1992,General Research,Relisting
008267,008268,1980,CRSP/Compustat,Relisting
007125,008274,1986,SDC Platinum,Merger or Acquisition
001581,008275,1962,6-character CUSIP,Subsidiary Listing
061489,008275,1984,6-character CUSIP,Subsidiary Listing
008286,008287,1984,6-character CUSIP,Subsidiary Listing
001581,008287,1950,6-character CUSIP,Subsidiary Listing
010443,008292,1974,General Research,Subsidiary Listing
128978,008292,1998,Clean Name Duplicates,Relisting
004093,008325,1997,General Research,Merger or Acquisition
008326,008325,1973,General Research,Relisting
009867,008326,2003,SDC Platinum,Merger or Acquisition
003310,008328,1992,Subsidiary Data,Merger or Acquisition
012351,008331,1987,SDC Platinum,Merger or Acquisition
062290,008331,1995,General Research,Relisting
011288,008352,1976,General Research,Merger or Acquisition
014370,008359,1986,Clean Name Duplicates,Merger or Acquisition
028379,008363,2014,Clean Name Duplicates,Relisting
035158,008367,2014,Clean Name Duplicates,Relisting
012514,008378,1981,Clean Name Duplicates,Relisting
001050,008423,2015,SDC Platinum,Merger or Acquisition
008431,008430,1979,Clean Name Duplicates,Relisting
001302,008436,1961,General Research,Merger or Acquisition
014314,008472,1981,6-character CUSIP,Relisting
118577,008488,2008,General Research,Merger or Acquisition
011040,008533,1995,General Research,Merger or Acquisition
014590,008536,2007,Subsidiary Data,Merger or Acquisition
161810,008559,2004,CRSP/Compustat,Merger or Acquisition
013200,008565,1985,Clean Name Duplicates,Relisting
006730,008566,1980,General Research,Merger or Acquisition
008566,008566,1994,General Research,Merger or Acquisition
018597,008585,1989,SDC Platinum,Merger or Acquisition
021235,008589,1989,Clean Name Duplicates,Relisting
008592,008591,1975,General Research,Relisting
008593,008592,1980,General Research,Relisting
008594,008593,1980,Clean Name Duplicates,Subsidiary Listing
010006,008618,1978,General Research,Relisting
003369,008622,1987,Clean Name Duplicates,Merger or Acquisition
004327,008629,1986,SDC Platinum,Merger or Acquisition
012168,008635,1985,Clean Name Duplicates,Relisting
008626,008644,2002,SDC Platinum,Merger or Acquisition
009459,008645,1971,General Research,Merger or Acquisition
007935,008647,1997,Subsidiary Data,Merger or Acquisition
010964,008662,1981,General Research,Subsidiary Listing
012428,008684,1958,General Research,Subsidiary Listing
002176,008717,2015,General Research,Merger or Acquisition
024842,008719,1990,General Research,Relisting
029028,008746,1991,General Research,Relisting
015248,008756,1988,CRSP/Compustat,Relisting
008245,008796,1983,CRSP/Compustat,Merger or Acquisition
008822,008820,1981,Clean Name Duplicates,Relisting
005047,008889,1986,General Research,Merger or Acquisition
003358,008925,2008,Subsidiary Data,Merger or Acquisition
028701,008935,1950,General Research,Subsidiary Listing
010787,008960,1999,Subsidiary Data,Merger or Acquisition
010983,008972,2020,General Research,Subsidiary Spin-Off
012145,009057,1985,Clean Name Duplicates,Relisting
015704,009098,2008,General Research,Merger or Acquisition
008331,009104,1986,General Research,Merger or Acquisition
025493,009111,1987,General Research,Relisting
120877,009113,1997,General Research,Relisting
008762,009126,1985,SDC Platinum,Merger or Acquisition
003170,009165,1976,General Research,Merger or Acquisition
