vacuum_name,clean_name
UNITEDMICROELEC,UNITEDMICROELECTRONICS
UNITEDTECH,UNITEDTECH
UNIVERSITYOFFLORIDARESEARCHFOUNDATION,UNIVERSITYOFFLORIDARESEARCHFOUNDATION
UNIVERSALOILPROD,UOP
UOP,UOP
VALEO,VALEO
VERIZON,VERIZONPATENT
WESTERNDIGITAL,WESTERNDIGITALTECH
WESTINGHOUSEAIRBRAKE,WESTINGHOUSEAIRBRAKETECH
WHIRLPOOL,WHIRLPOOL
WYETH,WYETH
XEROX,XEROX
XILINX,XILINX
YAMAHA,YAMAHA
